variable,dataset_name,source_org,raw_file,raw_indicator_name,transform_note,key,sub_source_note
"Carbon Cost to Revenues in Disclosing Firms|ECTFR|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms|Constant Assets/Revenues|Not applicable|Current Policies|Scope 1",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon Cost to Revenues in Disclosing Firms|ECTFR|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms|Constant Assets/Revenues|Not applicable|Current Policies|Scope 2",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon Cost to Revenues in Disclosing Firms|ECTFR|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms|Constant Assets/Revenues|Not applicable|Delayed transition|Scope 1",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon Cost to Revenues in Disclosing Firms|ECTFR|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms|Constant Assets/Revenues|Not applicable|Delayed transition|Scope 2",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon Cost to Revenues in Disclosing Firms|ECTFR|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms|Constant Assets/Revenues|Not applicable|Divergent Net Zero|Scope 1",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon Cost to Revenues in Disclosing Firms|ECTFR|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms|Constant Assets/Revenues|Not applicable|Divergent Net Zero|Scope 2",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon Cost to Revenues in Disclosing Firms|ECTFR|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms|Constant Assets/Revenues|Not applicable|Nationally Determined Contributions (NDCs)|Scope 1",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon Cost to Revenues in Disclosing Firms|ECTFR|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms|Constant Assets/Revenues|Not applicable|Nationally Determined Contributions (NDCs)|Scope 2",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon Cost to Revenues in Disclosing Firms|ECTFR|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms|Constant Assets/Revenues|Not applicable|Net Zero 2050|Scope 1",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon Cost to Revenues in Disclosing Firms|ECTFR|Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms|Constant Assets/Revenues|Not applicable|Net Zero 2050|Scope 2",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Carbon Cost to Revenues in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Below 2°C|Scope 1,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Carbon Cost to Revenues in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Below 2°C|Scope 2,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Carbon Cost to Revenues in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Current Policies|Scope 1,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Carbon Cost to Revenues in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Current Policies|Scope 2,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Carbon Cost to Revenues in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Delayed transition|Scope 1,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Carbon Cost to Revenues in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Delayed transition|Scope 2,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Carbon Cost to Revenues in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Divergent Net Zero|Scope 1,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Carbon Cost to Revenues in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Divergent Net Zero|Scope 2,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Carbon Cost to Revenues in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Nationally Determined Contributions (NDCs)|Scope 1,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Carbon Cost to Revenues in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Nationally Determined Contributions (NDCs)|Scope 2,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Carbon Cost to Revenues in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Net Zero 2050|Scope 1,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Carbon Cost to Revenues in Disclosing Firms|Growth Rates applied to Assets/Revenues|Not applicable|Net Zero 2050|Scope 2,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/19_Carbon_Tax_to_RevenuesAssets_in_Disclosing_Firms.csv,Carbon Cost to Revenues in Disclosing Firms,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon Footprint of Bank Loans (Based on emission intensities - normalized)|ECFLIN|Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities; Normalized|Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities, Normalized",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/12_Carbon_Footprint_of_Bank_Loans.csv,Carbon Footprint of Bank Loans (Based on emission intensities - normalized),Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon Footprint of Bank Loans (Based on emission intensities)|ECFLI|Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities|Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/12_Carbon_Footprint_of_Bank_Loans.csv,Carbon Footprint of Bank Loans (Based on emission intensities),Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon Footprint of Bank Loans (Based on emission multipliers - normalized)|ECFLMN|Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Multipliers; Normalized|Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Multipliers, Normalized",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/12_Carbon_Footprint_of_Bank_Loans.csv,Carbon Footprint of Bank Loans (Based on emission multipliers - normalized),Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon Footprint of Bank Loans (Based on emission multipliers)|ECFLM|Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Multipliers|Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Multipliers",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/12_Carbon_Footprint_of_Bank_Loans.csv,Carbon Footprint of Bank Loans (Based on emission multipliers),Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Carbon stocks in forests|Million tonnes|ECMFC|Environment, Climate Change, Mitigation, Forest and Carbon, Carbon Stocks in Living Biomass (in Forests)",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/29_Forest_and_Carbon.csv,Carbon stocks in forests,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate Altering Land Cover Index|Index|ECCCA|Climate Altering Land Cover Index|Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index|Climate altering",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/28_Land_Cover_Accounts.csv,Climate Altering Land Cover Index,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of Disasters: Drought",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of Disasters: Drought",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of Disasters: Extreme temperature",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of Disasters: Flood",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of Disasters: Flood",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of Disasters: Landslide",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of Disasters: Landslide",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of Disasters: Storm",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of Disasters: Storm",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of Disasters: TOTAL",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of Disasters: TOTAL",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of Disasters: Wildfire",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of Disasters: Wildfire",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of People Affected: Drought",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of People Affected: Drought",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of People Affected: Extreme temperature",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of People Affected: Extreme temperature",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of People Affected: Flood",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of People Affected: Flood",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of People Affected: Landslide",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of People Affected: Landslide",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of People Affected: Storm",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of People Affected: Storm",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of People Affected: TOTAL",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of People Affected: TOTAL",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate related disasters frequency, Number of People Affected: Wildfire",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/30_Climate-related_Disasters_Frequency.csv,"Climate related disasters frequency, Number of People Affected: Wildfire",Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate-driven Hazard & Exposure|ECFRMH|Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Hazard & Exposure |Climate-Driven Hazard & Exposure",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/15_Climate-driven_INFORM_Risk.csv,Climate-driven Hazard & Exposure,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Climate-driven INFORM Risk Indicator|ECFRMR|Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Physical Risks, Index for Risk Management, Climate-Driven Inform Risk Indicator |Climate-Driven Inform Risk Indicator",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/15_Climate-driven_INFORM_Risk.csv,Climate-driven INFORM Risk Indicator,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Comparative advantage in environmental goods|Index|ECBTGA|Trade in Environmental Goods; Comparative Advantage|Environment, Climate Change, Cross-Border, Trade-Related, Trade in Environmental Goods, Comparative Advantage|Not Applicable",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/7_Trade_in_Environmental_Goods.csv,Comparative advantage in environmental goods,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Comparative advantage in low carbon technology products|Index|ECBTLA|Trade in Low Carbon Technology Products; Comparative Advantage|Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Comparative Advantage|Not Applicable",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/9_Trade_in_Low_Carbon_Technology_Products.csv,Comparative advantage in low carbon technology products,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Conditional Share|Cold,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/18_Above_Average_Production_Exposure_to_Climate_Hazards.csv,Conditional Share,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Conditional Share|Drought,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/18_Above_Average_Production_Exposure_to_Climate_Hazards.csv,Conditional Share,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Conditional Share|Fire,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/18_Above_Average_Production_Exposure_to_Climate_Hazards.csv,Conditional Share,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Conditional Share|Flood,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/18_Above_Average_Production_Exposure_to_Climate_Hazards.csv,Conditional Share,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Conditional Share|Heat,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/18_Above_Average_Production_Exposure_to_Climate_Hazards.csv,Conditional Share,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Conditional Share|Precipitation,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/18_Above_Average_Production_Exposure_to_Climate_Hazards.csv,Conditional Share,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
Conditional Share|Wind,IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/18_Above_Average_Production_Exposure_to_Climate_Hazards.csv,Conditional Share,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Environmental Taxes|ECGTE|Environmental Taxes|Environment, Climate Change, Government Policy, Taxes, Environmental Taxes|Domestic Currency",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/22_Environmental_Taxes.csv,Environmental Taxes,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Environmental Taxes|ECGTE|Environmental Taxes|Environment, Climate Change, Government Policy, Taxes, Environmental Taxes|Percent of GDP",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/22_Environmental_Taxes.csv,Environmental Taxes,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Environmental goods exports as percent of GDP|Percent|ECBTGX|Trade in Environmental Goods; Exports|Environment, Climate Change, Cross-Border, Trade-Related, Trade in Environmental Goods, Exports|Exports",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/7_Trade_in_Environmental_Goods.csv,Environmental goods exports as percent of GDP,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Environmental goods exports as share of total exports|Percent|ECBTGX|Trade in Environmental Goods; Exports|Environment, Climate Change, Cross-Border, Trade-Related, Trade in Environmental Goods, Exports|Exports",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/7_Trade_in_Environmental_Goods.csv,Environmental goods exports as share of total exports,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Environmental goods exports|US Dollars|ECBTGX|Trade in Environmental Goods; Exports|Environment, Climate Change, Cross-Border, Trade-Related, Trade in Environmental Goods, Exports|Exports",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/7_Trade_in_Environmental_Goods.csv,Environmental goods exports,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Environmental goods imports as percent of GDP|Percent|ECBTGM|Trade in Environmental Goods; Imports|Environment, Climate Change, Cross-Border, Trade-Related, Trade in Environmental Goods, Imports|Imports",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/7_Trade_in_Environmental_Goods.csv,Environmental goods imports as percent of GDP,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Environmental goods imports as share of total imports|Percent|ECBTGM|Trade in Environmental Goods; Imports|Environment, Climate Change, Cross-Border, Trade-Related, Trade in Environmental Goods, Imports|Imports",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/7_Trade_in_Environmental_Goods.csv,Environmental goods imports as share of total imports,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Environmental goods imports|US Dollars|ECBTGM|Trade in Environmental Goods; Imports|Environment, Climate Change, Cross-Border, Trade-Related, Trade in Environmental Goods, Imports|Imports",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/7_Trade_in_Environmental_Goods.csv,Environmental goods imports,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
"Environmental goods trade balance as percent of GDP|Percent|ECBTGB|Trade in Environmental Goods; Trade Balance|Environment, Climate Change, Cross-Border, Trade-Related, Trade in Environmental Goods, Trade Balance|Not Applicable",IMF Climate Change Indicators,International Monetary Fund,IMF/IMF-CID/7_Trade_in_Environmental_Goods.csv,Environmental goods trade balance as percent of GDP,Constructed variable labels by joining the non-constant descriptor columns within each IMF-CID source file after removing columns that are constant inside the file; year columns are standardized to four-digit labels.,Numeric-Year,
